id,word,article,topics,level,gender,partOfSpeech,translation,transcriptionRu,plural,examples,association,image,forms,conjugation
himmel,Himmel,der,nature,A1,m,сущ.,небо,хи́ммель,Himmel,Der Himmel ist blau.,(humble — высокое небо),himmel.jpg,—,—
wolke,Wolke,die,nature,A1,f,сущ.,облако,во́лке,Wolken,Die Wolke ist grau.,(волокно — пушистое → облако),wolke.jpg,—,—
sonne,Sonne,die,nature,A1,f,сущ.,солнце,зо́нне,Sonnen,Die Sonne scheint.,(sun → Sonne),sonne.jpg,—,—
schatten,Schatten,der,nature,A2,m,сущ.,тень,ша́ттен,Schatten,Im Schatten ist es kühl.,(shadow → Schatten),schatten.jpg,—,—
blume,Blume,die,nature,A1,f,сущ.,цветок,блю́ме,Blumen,Die Blume ist schön.,(блум → расцветать),blume.jpg,—,—
stickig,stickig,—,nature,B1,—,прил.,душный,шти́кихь,—,Der Raum ist stickig.,(stick → застряло → душно),stickig.jpg,—,—
schwuel,schwül,—,nature,B1,—,прил.,"влажный, душный (о погоде)",швюль,—,Es ist schwül heute.,(шв — тяжёлый воздух),schwül.jpg,—,—
hitze,Hitze,die,nature,A2,f,сущ.,жара,хи́тце,—,Die Hitze ist stark.,(heat → Hitze),hitze.jpg,—,—
arbeit,Arbeit,die,work & career,A1,f,сущ.,работа,а́рбайт,Arbeiten,Die Arbeit macht Spaß.,(арба — возить тяжёлую работу),arbeit.jpg,—,—
beruf,Beruf,der,work & career,A1,m,сущ.,профессия,беру́ф,Berufe,Mein Beruf ist Lehrer.,(беру — выбираю профессию),beruf.jpg,—,—
stelle,Stelle,die,work & career,A2,f,сущ.,должность,ште́лле,Stellen,Ich suche eine Stelle.,(стелить карьеру),stelle.jpg,—,—
firma,Firma,die,work & career,A1,f,сущ.,"фирма, компания",фи́рма,Firmen,Die Firma wächst schnell.,(как по-русски),firma.jpg,—,—
abteilung,Abteilung,die,work & career,A2,f,сущ.,отдел,аптА́йлюнг,Abteilungen,Die Abteilung ist groß.,(teil — часть → отдел),abteilung.jpg,—,—
team,Team,das,work & career,A1,n,сущ.,команда,тим,Teams,Wir arbeiten im Team.,(teamwork),team.jpg,—,—
kollege,Kollege,der,work & career,A1,m,сущ.,коллега,колле́ге,Kollegen,Er ist mein Kollege.,(коллега),kollege.jpg,—,—
mitarbeiter,Mitarbeiter,der,work & career,A2,m,сущ.,сотрудник,ми́тарбайтер,Mitarbeiter,Die Mitarbeiter sind freundlich.,(mit + arbeiten → вместе работать),mitarbeiter.jpg,—,—
gehalt,Gehalt,das,work & career,B1,n,сущ.,зарплата,геха́лт,Gehälter,Das Gehalt ist hoch.,(держать → содержание → зарплата),gehalt.jpg,—,—
vertrag,Vertrag,der,work & career,B1,m,сущ.,контракт,фертра́г,Verträge,Ich unterschreibe den Vertrag.,(тракт — документ),vertrag.jpg,—,—
bewerbung,Bewerbung,die,work & career,B1,f,сущ.,заявление на работу,бева́рбунг,Bewerbungen,Ich schreibe eine Bewerbung.,(werben — привлекать → Bewerbung),bewerbung.jpg,—,—
lebenslauf,Lebenslauf,der,work & career,B1,m,сущ.,резюме,ле́бэнслауф,Lebensläufe,Mein Lebenslauf ist aktuell.,(жизненный путь),lebenslauf.jpg,—,—
vorstellungsgespraech,Vorstellungsgespräch,das,work & career,B1,n,сущ.,собеседование,фо́рштелунггешпре́х,Vorstellungsgespräche,Ich habe ein Vorstellungsgespräch.,(представить себя → Gespräch),vorstellungsgespraech.jpg,—,—
projekt,Projekt,das,work & career,A2,n,сущ.,проект,прое́кт,Projekte,Das Projekt ist wichtig.,(как по-русски),projekt.jpg,—,—
aufgabe,Aufgabe,die,work & career,A2,f,сущ.,задание,ау́фгабе,Aufgaben,Ich erledige die Aufgabe.,(geben — дать → задание),aufgabe.jpg,—,—
ziel,Ziel,das,work & career,A2,n,сущ.,цель,циль,Ziele,Das Ziel ist klar.,(цель → Ziel),ziel.jpg,—,—
erfolg,Erfolg,der,work & career,B1,m,сущ.,успех,эрфо́льг,Erfolge,Erfolg ist wichtig.,(folgen — следовать → добиться),erfolg.jpg,—,—
erfahrung,Erfahrung,die,work & career,B1,f,сущ.,опыт,эрфа́рунг,Erfahrungen,Ich habe viel Erfahrung.,(fahren — пройти путь → Erfahrung),erfahrung.jpg,—,—
faehigkeit,Fähigkeit,die,work & career,B1,f,сущ.,способность,фэ́йхиккайт,Fähigkeiten,Die Fähigkeit ist wichtig.,(fähig → способный),fähigkeit.jpg,—,—
kompetenz,Kompetenz,die,work & career,B1,f,сущ.,компетенция,компетЭ́нц,Kompetenzen,Die Kompetenz fehlt.,(как в русском),kompetenz.jpg,—,—
verantwortung,Verantwortung,die,work & career,B1,f,сущ.,ответственность,фера́нтвортунг,Verantwortungen,Ich habe viel Verantwortung.,(antwort — ответ → ответственность),verantwortung.jpg,—,—
voraussetzung,Voraussetzung,die,work & career,B1,f,сущ.,"требование, предпосылка",фора́усзецунг,Voraussetzungen,Die Voraussetzung ist wichtig.,(vor + setzen — поставить вперёд как условие),voraussetzung.jpg,—,—
weiterbildung,Weiterbildung,die,work & career,B1,f,сущ.,повышение квалификации,ва́йтербилдунг,Weiterbildungen,Ich mache eine Weiterbildung.,(weiter — дальше + Bildung — образование),weiterbildung.jpg,—,—
karriere,Karriere,die,work & career,B1,f,сущ.,карьера,карье́ре,Karrieren,Die Karriere läuft gut.,(как по-русски),karriere.jpg,—,—
kuendigung,Kündigung,die,work & career,B1,f,сущ.,увольнение,кю́ндигунг,Kündigungen,Ich bekomme eine Kündigung.,(kündigen — расторгать),kündigung.jpg,—,—
hilfe,Hilfe,die,work & career,A1,f,сущ.,помощь,хи́льфе,—,Ich brauche Hilfe.,(help → Hilfe),hilfe.jpg,—,—
kosten,Kosten,die (Pl.),work & career,A2,pl,сущ.,"расходы, издержки",ко́стен,—,Die Kosten sind hoch.,(cost → Kosten),kosten.jpg,—,—
fehler,Fehler,der,work & career,A2,m,сущ.,ошибка,фе́лер,Fehler,Ich habe einen Fehler gemacht.,(fail → Fehler),fehler.jpg,—,—
messe,Messe,die,work & career,B1,f,сущ.,"выставка, ярмарка",ме́ссе,Messen,Die Messe ist international.,(mass meeting → Messe),messe.jpg,—,—
verwendung,Verwendung,die,work & career,B1,f,сущ.,применение,ферве́ндунг,Verwendungen,Die Verwendung ist korrekt.,(verwenden → использовать),verwendung.jpg,—,—
machen,machen,—,work & career,A1,глагол,делать,ма́хен,—,Ich mache das sofort.,(мах — действие),machen.jpg,—,ich mache…,
tun,tun,—,work & career,A2,глагол,делать (более формально),тун,tat; hat getan,Was soll ich tun?,(do → tun),tun.jpg,tat; getan,ich tue…,
verwenden,verwenden,—,work & career,B1,глагол,использовать,ферве́нден,—,Ich verwende das Material.,(ВЕНДор — используешь товар),verwenden.jpg,—,ich verwende…,
suchen,suchen,—,work & career,A1,глагол,искать,зу́хен,—,Ich suche eine Stelle.,(зух — ищу),suchen.jpg,—,ich suche…,
erreichen,erreichen,—,work & career,A2,глагол,достигать,эра́йхен,—,Ich erreiche mein Ziel.,(reich — богат → достигать),erreichen.jpg,—,ich erreiche…,
bieten,bieten,—,work & career,A2,глагол,предлагать,би́тен,bot; hat geboten,Die Firma bietet viel.,(offer → bieten),bieten.jpg,bot; geboten,ich biete…,
werben,werben,—,work & career,B1,глагол,рекламировать; привлекать,ве́рбен,warb; hat geworben,Die Firma wirbt online.,(вербовать → werben),werben.jpg,warb; geworben,ich werbe…,
helfen,helfen,—,work & career,A1,глагол (Dativ),помогать,хе́льфен,half; hat geholfen,Ich helfe dir.,(help → helfen),helfen2.jpg,half; geholfen,ich helfe…,
sich_anstrengen,sich anstrengen,—,work & career,B1,глагол (refl.),"стараться, напрягаться",зих а́нштренген,—,Ich strenge mich an.,(strength → anstrengen),anstrengen.jpg,—,ich strenge mich an…,
sich_bemuehen,sich bemühen,—,work & career,B1,глагол (refl.),"стараться, прилагать усилия",зих бему́йен,—,Ich bemühe mich.,"(мю — мягко, усилие)",bemühen.jpg,—,ich bemühe mich…,
verabreden,verabreden,—,work & career,B1,глагол,договариваться,фера́бриден,—,Wir verabreden ein Treffen.,(abreden — обговорить),verabreden.jpg,—,ich verabrede…,
sich_bewerben_um,sich bewerben um,—,work & career,B1,глагол (refl.),подаваться на (вакансию),зих беве́рбен ум,bewarb sich; hat sich beworben,Ich bewerbe mich um die Stelle.,(werben → привлекать → Bewerben),bewerben_um.jpg,bewarb sich; beworben,ich bewerbe mich um…,
anfangen,anfangen,—,work & career,A2,глагол,начинать,а́нфанген,fing an; hat angefangen,Ich fange an.,(начать — an + fangen — хватать),anfangen.jpg,fing an; angefangen,ich fange an…,
aufgeben,aufgeben,—,work & career,B1,—,глагол,"сдавать(ся), прекращать",а́уфгебен,gab auf; hat aufgegeben,Ich gebe nicht auf.,(отдать вверх → сдаться),aufgeben.jpg,gab auf; aufgegeben,ich gebe auf…
verschieben,verschieben,—,work & career,B1,—,глагол,"переносить, откладывать",ферши́бен,verschob; hat verschoben,Wir verschieben den Termin.,(schieben — двигать → verschieben),verschieben.jpg,verschob; verschoben,ich verschiebe…
anwenden,anwenden,—,work & career,B1,—,глагол,применять,а́нвендэн,—,Ich wende die Methode an.,(wenden — повернуть → применить),anwenden.jpg,—,ich wende an…
empfehlen,empfehlen,—,work & career,B1,—,глагол,рекомендовать,эмфе́лен,empfahl; hat empfohlen,Ich empfehle das Buch.,(fall into favor),empfehlen2.jpg,empfahl; empfohlen,ich empfehle…
unternehmen,unternehmen,—,work & career,B1,—,глагол,предпринимать,унтэрне́мен,unternahm; hat unternommen,Wir unternehmen etwas.,(nehmen — брать → предпринять),unternehmen.jpg,unternahm; unternommen,ich unternehme…
teilnehmen,teilnehmen,—,work & career,A2,—,глагол,участвовать,та́йлнеймен,nahm teil; hat teilgenommen,Ich nehme an der Sitzung teil.,(take part → teilnehmen),teilnehmen2.jpg,nahm teil; teilgenommen,ich nehme teil…
entscheiden,entscheiden,—,work & career,B1,—,глагол,"решать, принимать решение",энтша́йден,entschied; hat entschieden,Ich entscheide das später.,(schneiden — отрезать → выбрать),entscheiden.jpg,entschied; entschieden,ich entscheide…
schwierig,schwierig,—,work & career,A2,—,прил.,трудный,шви́рихь,—,Die Aufgabe ist schwierig.,(schwer — тяжёлый → schwierig),schwierig.jpg,—,—
wichtig,wichtig,—,work & career,A1,—,прил.,важный,ви́хтихь,—,Das ist wichtig.,(веха → ключевое),wichtig.jpg,—,—
flexibel,flexibel,—,work & career,B1,—,прил.,гибкий,флекси́бэль,—,Ich bin flexibel.,(flex → сгибать),flexibel.jpg,—,—
puenktlich,pünktlich,—,work & career,A2,—,прил.,пунктуальный,пю́нктлихь,—,Ich bin pünktlich.,(punkt — точка во времени),pünktlich.jpg,—,—
verlaesslich,verlässlich,—,work & career,B1,—,прил.,надёжный,ферле́сслихь,—,Er ist sehr verlässlich.,(lassen → доверить),verlässlich.jpg,—,—
